page_type,column,layout
101,6,"[[0, 0, 6, 5], [0, 5, 1, 5], [1, 5, 2, 5], [3, 5, 3, 10, 2], [0, 10, 3, 5]]"
100,6,"[[0, 0, 6, 5], [0, 5, 3, 5], [3, 5, 3, 5], [0, 10, 2, 5, 2], [2, 10, 2, 5], [4, 10, 2, 5]]"
101,6,"[[0, 0, 6, 5], [0, 5, 3, 5], [3, 5, 3, 5], [0, 10, 2, 5, 2], [2, 10, 2, 5], [4, 10, 2, 5]]"
101,7,"[[0, 0, 6, 8], [6, 0, 1, 15, 3], [0, 8, 2, 7, 2], [2, 8, 4, 7, 2]]"
101,7,"[[0, 0, 7, 2], [0, 2, 4, 13, 3], [4, 2, 3, 13, 4]]"
101,7,"[[0, 0, 7, 2], [0, 2, 4, 8, 2], [4, 2, 3, 13, 3], [0, 7, 2, 5], [2, 7, 2, 5]]"
101,7,"[[0, 0, 7, 2], [0, 2, 4, 9, 2], [4, 2, 3, 13, 3], [0, 11, 2, 4], [2, 11, 2, 4]]"
101,7,"[[0, 0, 7, 2], [0, 2, 4, 13, 2], [4, 2, 3, 13, 3]]"
100,7,"[[0, 0, 7, 4], [0, 4, 4, 6, 2], [4, 4, 3, 11, 3], [0, 10, 3, 5], [3, 10, 1, 5], [0, 13, 2, 2]]"
100,7,"[[0, 0, 7, 2], [0, 2, 4, 13, 3], [4, 2, 3, 13, 4]]"
100,7,"[[0, 0, 7, 2], [0, 2, 4, 13, 2], [4, 2, 3, 13, 3]]"
100,7,"[[0, 0, 7, 10], [0, 10, 2, 5, 2], [2, 10, 2, 5], [4, 10, 3, 5, 2]]"
101,7,"[[0, 0, 7, 10], [0, 10, 2, 5, 2], [2, 10, 2, 5], [4, 10, 3, 5, 2]]"
101,6,"[[0, 0, 6, 5], [0, 5, 4, 5], [4, 5, 2, 10, 3], [0, 10, 1, 5], [1, 10, 3, 5]]"
100,7,"[[0, 0, 5, 15, 3], [5, 0, 2, 15, 3]]"
101,7,"[[0, 0, 5, 15, 3], [5, 0, 2, 15, 3]]"
100,7,"[[0, 0, 7, 2], [0, 2, 4, 13, 3], [4, 2, 3, 13, 3]]"
101,7,"[[0, 0, 5, 7], [5, 0, 2, 11, 2], [0, 7, 3, 8], [3, 7, 2, 4], [3, 11, 4, 4]]"
101,7,"[[0, 0, 7, 7], [0, 7, 4, 8], [4, 7, 3, 8]]"
2,7,"[[0, 0, 7, 8], [0, 8, 3, 4], [3, 8, 2, 4], [5, 8, 2, 7, 2], [0, 12, 2, 3], [2, 12, 3, 3]]"
1,6,"[[0, 1, 4, 9, 2], [4, 1, 2, 9], [0, 10, 6, 5]]"
100,7,"[[0, 0, 5, 9, 2], [5, 0, 2, 15, 4], [0, 9, 2, 6], [2, 9, 3, 6]]"
1,7,"[[0, 1, 7, 9], '5단통']"
1,6,"[[0, 1, 6, 9], '5단통']"
21,7,"[[0, 0, 5, 15, 4], [5, 0, 2, 15, 2]]"
20,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4]]"
21,7,"[[0, 0, 5, 15, 3], [5, 0, 2, 15, 2]]"
20,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 2], '5단통']"
20,7,"[[0, 0, 5, 15, 3], [5, 0, 2, 15, 2]]"
21,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4]]"
20,7,"[[0, 0, 7, 6], [4, 6, 3, 9, 2], '9단21']"
20,7,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 4, 8], [4, 7, 3, 8]]"
21,7,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 4, 8], [4, 7, 3, 8]]"
100,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 2], '5단통']"
20,7,"[[0, 0, 5, 10, 3], [5, 0, 2, 10, 2], '5단통']"
21,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 15, 3], [0, 10, 4, 5], [4, 10, 1, 5]]"
101,7,"[[0, 0, 4, 5], [4, 0, 3, 10, 2], [0, 5, 2, 5], [2, 5, 2, 5], '5단통']"
100,7,"[[0, 0, 7, 10], [5, 5, 2, 5], '5단통']"
21,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 3], '5단통']"
21,7,"[[0, 0, 7, 6], [0, 6, 5, 6], [5, 6, 2, 6], [0, 12, 4, 3], [4, 12, 3, 3]]"
20,7,"[[0, 0, 5, 5], [5, 0, 2, 10, 2], [0, 5, 3, 5], [3, 5, 2, 5], '5단통']"
21,7,"[[0, 0, 5, 10, 3], [5, 0, 2, 10, 2], '5단통']"
100,7,"[[0, 0, 7, 7], [0, 7, 4, 8], [4, 7, 3, 8]]"
21,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 2], '5단통']"
20,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 3], '5단통']"
21,7,"[[0, 0, 7, 6], [4, 6, 3, 9, 2], '9단21']"
100,7,"[[0, 0, 4, 11, 2], [4, 0, 3, 15, 3], [0, 5, 2, 4], [2, 5, 2, 4]]"
12,7,"[[0, 0, 7, 6], [4, 6, 3, 9, 2], '9단21']"
12,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4]]"
13,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4]]"
21,7,"[[0, 0, 5, 10], [5, 0, 2, 15, 3], [0, 10, 3, 5], [3, 10, 2, 5]]"
20,7,"[[0, 0, 6, 10, 2], [6, 0, 1, 10, 2], '5단통']"
1,7,"[[0, 1, 4, 9, 2], [4, 1, 3, 9], '5단통']"
1,7,"[[0, 1, 7, 9, 2], '5단통']"
